Area_Name,age_group_50yr,age_group_10_15yr,age_group_15_18yr,age_group_30_50yrs
,,,,
Andaman & Nicobar Islands,28.0,6.0,6.0,132.0
Andhra Pradesh,6294,580,844,21784
Arunachal Pradesh,28.0,0.0,0.0,490
Assam,1262.0,96.0,446.0,8744
Bihar,3482,288,1112,25846
Chandigarh,48,4,2,162
Chhattisgarh,2956,280,596,9610
Dadra & Nagar Haveli,22.0,2.0,4.0,88.0
Daman & Diu,14.0,4.0,0.0,34.0
Delhi,820,266,386,3422
Goa,140,6.0,10.0,362
Gujarat,2466,330,324,10948
Haryana,1308,196,452,7320
Himachal Pradesh,312,32,60,1186
Jammu & Kashmir,1166,102.0,398.0,6520
Jharkhand,2930,150,826,13652
Karnataka,3432,264,442,13792
Kerala,1630,176,106.0,3626
Lakshadweep,0.0,2.0,0.0,2.0
Madhya Pradesh,5246,682,1512,19244
Maharashtra,6598,810,952,21890
Manipur,216,24.0,54.0,1676
Meghalaya,110,12,84,1226
Mizoram,56.0,2.0,22.0,284.0
Nagaland,56,8,36,694
Odisha,1678,72,230,10246
Puducherry,74.0,2.0,6.0,254
Punjab,1486,190,328,6922
Rajasthan,2720,330,558,11480
Sikkim,34.0,6.0,18.0,112.0
Tamil Nadu,5498,254,682.0,14284
Tripura,410.0,62.0,60.0,1470
Uttar Pradesh,10224,3016,4690,42790
Uttarakhand,446,40.0,52.0,2470
West Bengal,1802,60,88,13388
